epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1762,0.55544,1.59322,3.83852,0.00858,3.26533,0.00598,0.98311,0.58738,0.49795,0.00598,0.98311,0.58886,0.50194,0.446,0.94183,6.77302,0.01124,0,0.000654321,0.000654321,0.000654321
2,173.515,0.59324,0.75718,2.07794,0.00908,1.91957,0.70982,0.64847,0.71006,0.53543,0.70804,0.64685,0.70553,0.55404,0.82954,1.34032,3.36467,0.02306,0,0.00131227,0.00131227,0.00131227
3,249.239,0.6814,0.79595,1.30168,0.01089,1.91644,0.57906,0.64759,0.61981,0.35285,0.56745,0.64528,0.60797,0.383,1.37899,1.7951,2.02288,0.0412,0,0.00196142,0.00196142,0.00196142
4,323.957,0.73238,0.80639,1.01749,0.01209,1.88413,0.72963,0.73002,0.77311,0.58156,0.72959,0.72807,0.76903,0.59401,0.90829,1.38875,1.13147,0.02634,0,0.0019604,0.0019604,0.0019604
5,398.895,0.6809,0.75585,0.8524,0.01079,1.82093,0.66017,0.6993,0.71593,0.5363,0.65048,0.68648,0.6986,0.51374,0.9214,2.00451,1.33753,0.02624,0,0.0019472,0.0019472,0.0019472
6,473.48,0.66318,0.72381,0.79227,0.0105,1.74439,0.74605,0.76998,0.82185,0.56993,0.75299,0.77258,0.82196,0.66233,1.00441,0.94248,0.96595,0.03307,0,0.001934,0.001934,0.001934
7,548.333,0.65179,0.72069,0.74837,0.01007,1.70621,0.79195,0.80312,0.86252,0.65539,0.78651,0.81029,0.86238,0.69998,0.87532,0.91367,0.7663,0.02493,0,0.0019208,0.0019208,0.0019208
8,623.262,0.61729,0.70467,0.71716,0.00939,1.78091,0.79126,0.82021,0.86904,0.66543,0.79047,0.81628,0.86116,0.68641,0.88137,1.36038,0.75723,0.02577,0,0.0019076,0.0019076,0.0019076
9,698.001,0.62737,0.69289,0.70069,0.00965,1.70563,0.77515,0.77745,0.82688,0.63498,0.77853,0.77908,0.82793,0.67143,0.95298,1.09191,0.81623,0.02875,0,0.0018944,0.0018944,0.0018944
10,771.965,0.60327,0.69173,0.68689,0.00928,1.6802,0.83182,0.82066,0.89531,0.72674,0.80187,0.8486,0.89411,0.76842,0.74695,0.80434,0.62836,0.02129,0,0.0018812,0.0018812,0.0018812
11,846.295,0.59229,0.65382,0.66071,0.00893,1.64904,0.8261,0.84886,0.90826,0.74925,0.82421,0.84691,0.90442,0.80825,0.72346,0.84665,0.60503,0.02063,0,0.001868,0.001868,0.001868
12,920.522,0.60456,0.66385,0.65123,0.00933,1.66576,0.83059,0.86173,0.9082,0.77507,0.83499,0.8512,0.90526,0.8138,0.61187,0.77439,0.54899,0.0158,0,0.0018548,0.0018548,0.0018548
13,995.537,0.58568,0.67177,0.63087,0.00885,1.56671,0.82828,0.83524,0.8906,0.68817,0.82614,0.83431,0.88465,0.73324,0.88209,1.01437,0.65557,0.02607,0,0.0018416,0.0018416,0.0018416
14,1070.32,0.5764,0.63016,0.62255,0.00873,1.59029,0.86324,0.86712,0.92315,0.73475,0.86143,0.86842,0.92051,0.83069,0.80842,0.74203,0.53967,0.02299,0,0.0018284,0.0018284,0.0018284
15,1145.23,0.5748,0.63519,0.60813,0.00863,1.60139,0.83638,0.8525,0.90869,0.7645,0.83792,0.85218,0.90827,0.81197,0.64124,0.74883,0.58049,0.0178,0,0.0018152,0.0018152,0.0018152
16,1219.91,0.56421,0.62034,0.5988,0.00847,1.52119,0.86285,0.87072,0.92154,0.80965,0.86744,0.86907,0.91864,0.82358,0.53907,0.71242,0.50705,0.01352,0,0.001802,0.001802,0.001802
17,1294.35,0.5685,0.61312,0.59636,0.00858,1.57564,0.8735,0.89084,0.93401,0.81424,0.87216,0.88532,0.93053,0.84036,0.54579,0.6814,0.45273,0.01378,0,0.0017888,0.0017888,0.0017888
18,1368.75,0.57439,0.60722,0.59958,0.00898,1.51782,0.88641,0.87976,0.94095,0.80563,0.88325,0.88142,0.93879,0.85755,0.58284,0.65481,0.43479,0.01553,0,0.0017756,0.0017756,0.0017756
19,1443.12,0.55733,0.60972,0.59098,0.00822,1.53042,0.87108,0.90222,0.94206,0.81582,0.86507,0.90819,0.94144,0.84678,0.56461,0.64042,0.42419,0.01506,0,0.0017624,0.0017624,0.0017624
20,1517.77,0.56565,0.60242,0.57542,0.00857,1.47095,0.85787,0.86872,0.922,0.7632,0.85851,0.86937,0.92226,0.81302,0.68423,0.65635,0.51786,0.01931,0,0.0017492,0.0017492,0.0017492
21,1592.3,0.55256,0.61616,0.57145,0.0083,1.50082,0.87195,0.89597,0.93704,0.80649,0.87759,0.89206,0.93515,0.83226,0.5783,0.65199,0.43407,0.01543,0,0.001736,0.001736,0.001736
